Column,CaseNumber,Title,FBG,CardText,uuid,messages
New,MS-207343,الغطاء المعدني المغلون للهاندهولة لا يحتوي على ضرر و مثبت بصورة جيدة بواسطة أربع براغي بالصبة الكونكريتية,FBG2206,"MS-207343
183:05
|
22 
|
0/0
الغطاء المعدني المغلون للهاندهولة لا يحتوي على ضرر و مثبت بصورة جيدة بواسطة أربع براغي بالصبة الكونكريتية
FBG2206
Created By: s_creatio msp_fms msp_fms
Assigned To: Sajjad Muhammad Sabah Muhammad Sabah
Clearance
Periodic Inspection - Clearance",bf2e7ba3-15bc-4ed1-b48a-e3b5f269e1df,"[{""sender"": ""s_creatio msp_fms msp_fms"", ""message"": ""Task created by s_creatio msp_fms msp_fms"", ""date"": ""15/12/2025 11:58 PM""}, {""sender"": ""s_creatio msp_fms msp_fms"", ""message"": ""Media uploaded by s_creatio msp_fms msp_fms"", ""date"": ""15/12/2025 11:58 PM""}, {""sender"": ""s_creatio msp_fms msp_fms"", ""message"": ""Media uploaded by s_creatio msp_fms msp_fms"", ""date"": ""15/12/2025 11:58 PM""}, {""sender"": ""s_creatio msp_fms msp_fms"", ""message"": ""Media uploaded by s_creatio msp_fms msp_fms"", ""date"": ""15/12/2025 11:58 PM""}, {""sender"": ""s_creatio msp_fms msp_fms"", ""message"": ""Media uploaded by s_creatio msp_fms msp_fms"", ""date"": ""15/12/2025 11:58 PM""}, {""sender"": ""s_creatio msp_fms msp_fms"", ""message"": ""Media uploaded by s_creatio msp_fms msp_fms"", ""date"": ""15/12/2025 11:58 PM""}, {""sender"": ""s_creatio msp_fms msp_fms"", ""message"": ""Media uploaded by s_creatio msp_fms msp_fms"", ""date"": ""15/12/2025 11:58 PM""}, {""sender"": ""s_creatio msp_fms msp_fms"", ""message"": ""Media uploaded by s_creatio msp_fms msp_fms"", ""date"": ""15/12/2025 11:58 PM""}, {""sender"": ""s_creatio msp_fms msp_fms"", ""message"": ""Media uploaded by s_creatio msp_fms msp_fms"", ""date"": ""15/12/2025 11:58 PM""}, {""sender"": ""s_creatio msp_fms msp_fms"", ""message"": ""Media uploaded by s_creatio msp_fms msp_fms"", ""date"": ""15/12/2025 11:58 PM""}, {""sender"": ""s_creatio msp_fms msp_fms"", ""message"": ""Media uploaded by s_creatio msp_fms msp_fms"", ""date"": ""15/12/2025 11:58 PM""}, {""sender"": ""s_creatio msp_fms msp_fms"", ""message"": ""Media uploaded by s_creatio msp_fms msp_fms"", ""date"": ""15/12/2025 11:58 PM""}, {""sender"": ""s_creatio msp_fms msp_fms"", ""message"": ""Media uploaded by s_creatio msp_fms msp_fms"", ""date"": ""15/12/2025 11:58 PM""}, {""sender"": ""s_creatio msp_fms msp_fms"", ""message"": ""Media uploaded by s_creatio msp_fms msp_fms"", ""date"": ""15/12/2025 11:58 PM""}, {""sender"": ""s_creatio msp_fms msp_fms"", ""message"": ""Media uploaded by s_creatio msp_fms msp_fms"", ""date"": ""15/12/2025 11:58 PM""}, {""sender"": ""s_creatio msp_fms msp_fms"", ""message"": ""Media uploaded by s_creatio msp_fms msp_fms"", ""date"": ""15/12/2025 11:58 PM""}, {""sender"": ""s_creatio msp_fms msp_fms"", ""message"": ""Media uploaded by s_creatio msp_fms msp_fms"", ""date"": ""15/12/2025 11:58 PM""}, {""sender"": ""s_creatio msp_fms msp_fms"", ""message"": ""Media uploaded by s_creatio msp_fms msp_fms"", ""date"": ""15/12/2025 11:58 PM""}, {""sender"": ""s_creatio msp_fms msp_fms"", ""message"": ""Media uploaded by s_creatio msp_fms msp_fms"", ""date"": ""15/12/2025 11:58 PM""}, {""sender"": ""s_creatio msp_fms msp_fms"", ""message"": ""Media uploaded by s_creatio msp_fms msp_fms"", ""date"": ""15/12/2025 11:58 PM""}, {""sender"": ""s_creatio msp_fms msp_fms"", ""message"": ""Media uploaded by s_creatio msp_fms msp_fms"", ""date"": ""15/12/2025 11:58 PM""}, {""sender"": ""s_creatio msp_fms msp_fms"", ""message"": ""Media uploaded by s_creatio msp_fms msp_fms"", ""date"": ""15/12/2025 11:58 PM""}, {""sender"": ""Sajjad Muhammad Sabah Muhammad Sabah "", ""message"": ""Team changed: Added: Sajjad Muhammad Sabah Muhammad Sabah by Sajjad Muhammad Sabah Muhammad Sabah"", ""date"": ""15/12/2025 11:59 PM""}, {""sender"": ""Sajjad Muhammad Sabah Muhammad Sabah"", ""message"": ""Team leader changed to Sajjad Muhammad Sabah Muhammad Sabah by Sajjad Muhammad Sabah Muhammad Sabah"", ""date"": ""15/12/2025 11:59 PM""}, {""sender"": ""Sajjad Muhammad Sabah Muhammad Sabah"", ""message"": ""Task status changed to TaskAccepted by Sajjad Muhammad Sabah Muhammad Sabah\nتم"", ""date"": ""15/12/2025 11:59 PM""}, {""sender"": ""Sajjad Muhammad Sabah Muhammad Sabah"", ""message"": ""Task status changed to TaskOnHold by Sajjad Muhammad Sabah Muhammad Sabah\nتم"", ""date"": ""15/12/2025 11:59 PM""}, {""sender"": ""Haithm Mohammed Jassim AL-Mousoe Mohammed Jassim AL-Mousoe "", ""message"": ""Team changed: Added: Haithm Mohammed Jassim AL-Mousoe Mohammed Jassim AL-Mousoe by Haithm Mohammed Jassim AL-Mousoe Mohammed Jassim AL-Mousoe"", ""date"": ""23/12/2025 10:04 AM""}, {""sender"": ""Mohammed Rabee Hashim AL-Obaidy Rabee Hashim AL-Obaidy"", ""message"": ""Media uploaded by Mohammed Rabee Hashim AL-Obaidy Rabee Hashim AL-Obaidy"", ""date"": ""23/12/2025 01:20 PM""}, {""sender"": ""yousif muyad majeed muyad majeed "", ""message"": ""Team changed: Added: yousif muyad majeed muyad majeed by Mohammed Rabee Hashim AL-Obaidy Rabee Hashim AL-Obaidy"", ""date"": ""23/12/2025 02:39 PM""}]"
In Progress,MS-215738,Case #cc-25122311015271679: FBG1318 FAT29 HIGH POWER,FBG1318,"MS-215738
00:48
|
1 
|
0/0
Case #cc-25122311015271679: FBG1318 FAT29 HIGH POWER
FBG1318
Created By: s_creatio msp_fms msp_fms
Assigned To: Hussein Nizar Hameed Nizar Hameed
Inspection
Under Inspection - Halasat",d24eeaaa-ef0a-4ba7-a337-161577415d34,"[{""sender"": ""s_creatio msp_fms msp_fms"", ""message"": ""Task created by s_creatio msp_fms msp_fms"", ""date"": ""23/12/2025 02:15 PM""}, {""sender"": ""sadiq faaiq Jassim faaiq Jassim "", ""message"": ""Team changed: Added: sadiq faaiq Jassim faaiq Jassim by Haithm Mohammed Jassim AL-Mousoe Mohammed Jassim AL-Mousoe"", ""date"": ""23/12/2025 02:15 PM""}, {""sender"": ""sadiq faaiq Jassim faaiq Jassim"", ""message"": ""Team leader changed to sadiq faaiq Jassim faaiq Jassim by Haithm Mohammed Jassim AL-Mousoe Mohammed Jassim AL-Mousoe"", ""date"": ""23/12/2025 02:15 PM""}, {""sender"": ""Hussein Nizar Hameed Nizar Hameed "", ""message"": ""Team changed: Added: Hussein Nizar Hameed Nizar Hameed | Removed: sadiq faaiq Jassim faaiq Jassim by Haithm Mohammed Jassim AL-Mousoe Mohammed Jassim AL-Mousoe"", ""date"": ""23/12/2025 02:16 PM""}, {""sender"": ""Hussein Nizar Hameed Nizar Hameed"", ""message"": ""Team leader changed to Hussein Nizar Hameed Nizar Hameed by Haithm Mohammed Jassim AL-Mousoe Mohammed Jassim AL-Mousoe"", ""date"": ""23/12/2025 02:16 PM""}, {""sender"": ""Haithm Mohammed Jassim AL-Mousoe Mohammed Jassim AL-Mousoe"", ""message"": ""Task status changed to TaskAccepted by Haithm Mohammed Jassim AL-Mousoe Mohammed Jassim AL-Mousoe\n."", ""date"": ""23/12/2025 02:23 PM""}, {""sender"": ""FBG1318 "", ""message"": ""Checked in at FBG1318 triggered via PIN override Remark: بالموقع by Haithm Mohammed Jassim AL-Mousoe Mohammed Jassim AL-Mousoe"", ""date"": ""23/12/2025 02:24 PM""}, {""sender"": ""Sajjad Muhammad Sabah Muhammad Sabah"", ""message"": ""Media uploaded by Sajjad Muhammad Sabah Muhammad Sabah"", ""date"": ""23/12/2025 03:01 PM""}, {""sender"": ""Sajjad Muhammad Sabah Muhammad Sabah"", ""message"": ""Task status changed to TaskUnderReview by Sajjad Muhammad Sabah Muhammad Sabah"", ""date"": ""23/12/2025 03:03 PM""}]"
